rank,name,slug,tvl,category,chains,defillama_github,open_source_flag,tvl_code_path,best_source_repo,best_source_score,best_source_language,best_source_description
62,Compound V3,compound-v3,1218817109.76,Lending,Ethereum;Arbitrum;Base;Optimism;Polygon;Mantle;Unichain;Ronin;Scroll,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/compound-v3/index.js,,,,
63,Jupiter Lend,jupiter-lend,1218617560.87,Lending,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/jupiter-lend/index.js,,,,
64,Spiko,spiko,1212542909.33,RWA,Stellar;Arbitrum;Polygon;Ethereum;Starknet;Base;Etherlink,spiko-tech,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/spiko/index.js,spiko-tech/stellar-contracts,8,Rust,
65,Sanctum Validator LSTs,sanctum-validator-lsts,1209309558.69,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/sanctum-validator-lsts/index.js,,,,
66,Bitmex,bitmex,1204904200.93,CEX,Bitcoin;Ethereum;Tron;Solana;Binance;Ripple,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitmex/index.js,,,,
67,Venus Core Pool,venus-core-pool,1161962015.45,Lending,Binance;Ethereum;Arbitrum;zkSync Era;Unichain;Base;Optimism;Op_Bnb,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/compound.js,,,,
68,Ethena USDtb,ethena-usdtb,1076241437.35,RWA,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ethena-usdtb/index.js,,,,
69,Veda,veda,1047061680.04,Onchain Capital Allocator,Ethereum;Ink;Optimism;Hyperliquid L1;Plasma;Base;Arbitrum;Sonic;Berachain;Binance;BOB;Scroll,Veda-Labs,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/veda/index.js,Veda-Labs/boring-vault-plasma,10,Solidity,
70,Rocket Pool,rocket-pool,1045346362.65,Liquid Staking,Ethereum,rocket-pool,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/rocketpool/index.js,rocket-pool/rocketpool-polygon-oracle,10,Solidity,
71,Anemoy Capital,anemoy-capital,1038526275.26,RWA,Ethereum;Celo;Base,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/anemoy-capital/index.js,,,,
72,Ondo Global Markets,ondo-global-markets,1003061738.44,RWA,Ethereum;Binance;Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ondo-global-markets/index.js,,,,
73,Raydium AMM,raydium-amm,984998811.76,Dexs,Solana,,False,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/raydium/index.js,,,,
74,Uniswap V2,uniswap-v2,967227587.53,Dexs,Ethereum;Base;Polygon;Arbitrum;Binance;Monad;X Layer;Optimism;Avalanche;Unichain;Tempo;Zora;Celo,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/uniswap-v2/index.js,,,,
75,Blockchain Capital,blockchain-capital,964699191.57,RWA,zkSync Era,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bcap/index.js,,,,
76,WisdomTree,wisdomtree,960469490.88,RWA,Ethereum;Stellar,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/wisdomtree/index.js,,,,
77,Concrete,concrete,959034203.65,Onchain Capital Allocator,Ethereum;Stable;Berachain;Arbitrum;Katana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/concrete-xyz/index.js,,,,
78,Binance Staked SOL,binance-staked-sol,935595624.51,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
79,SwissBorg,swissborg,922459519.7,CEX,Bitcoin;Ethereum;Solana;Ripple;Binance;Hedera;Cardano;Avalanche;Doge;Tron;Polygon;Near;Cosmos;Arbitrum;Injective;Algorand;TON;Optimism;Sei;Celestia;Stellar;Sonic;Moonbeam;Berachain;Osmosis;xDai;Chiliz;Polkadot,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/swissborg/index.js,,,,
80,Obol,obol,877796790.9,Staking Pool,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/obol/index.js,,,,
81,Jito Liquid Staking,jito-liquid-staking,833395384.85,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/jito/index.js,,,,
82,Superstate USTB,superstate-ustb,830722539.55,RWA,Ethereum;Plume Mainnet;Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/superstate/index.js,,,,
83,Function FBTC,function-fbtc,819273822.73,Bridge,Bitcoin,fbtc-xyz,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/fbtc/index.js,fbtc-xyz/fbtc-contract,10,Solidity,
84,Jupiter Staked SOL,jupiter-staked-sol,816557487.03,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/jupSOL/index.js,,,,
85,Kinetiq kHYPE,kinetiq-khype,813648219.98,Liquid Staking,Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/kinetiq/index.js,,,,
86,Fluid Lending,fluid-lending,791860016.83,Lending,Ethereum;Arbitrum;Plasma;Base;Polygon,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/fluid/index.js,,,,
87,StakeWise V2,stakewise-v2,756858902.51,Liquid Staking,Ethereum;xDai,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/stakewise/index.js,,,,
88,Lombard LBTC,lombard-lbtc,753441017.87,Restaked BTC,Bitcoin;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lombard/index.js,,,,
89,Uniswap V4,uniswap-v4,746165283.78,Dexs,Ethereum;Base;Arbitrum;Binance;Polygon;Unichain;Monad;Soneium;Optimism;Tempo;Avalanche;X Layer;World Chain;Blast;Ink;Zora,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/uniswap-v4/index.js,,,,
90,Liquid Collective,liquid-collective,741240196.28,Liquid Staking,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/liquid-collective/index.js,,,,
91,OSL HK,osl-hk,678905351.24,CEX,Bitcoin;Ethereum;Solana;Tron;Binance;Ripple;Avalanche;Sei;Doge;TON;Polygon;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/osl-hk/index.js,,,,
92,Jupiter Perpetual Exchange,jupiter-perpetual-exchange,672695916.31,Derivatives,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/jupiter-perpetual.js,,,,
93,BingX,bingx,610710332.99,CEX,Tron;Bitcoin;Binance;Ethereum;Solana;TON;Ripple;Arbitrum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bing-cex/index.js,,,,
94,Aster Bridge,aster-bridge,605539379.78,Bridge,Binance;Ethereum;Arbitrum;Solana;Scroll,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/astherus/index.js,,,,
95,DoubleZero Staked SOL,doublezero-staked-sol,601676756.74,Liquid Staking,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/solanaStakePool.js,,,,
96,Lista Lending,lista-lending,597622356.93,Lending,Binance;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lista-lending/index.js,,,,
97,Convex Finance,convex-finance,588504988.6,Yield,Ethereum;Fraxtal;Arbitrum;Polygon,convex-eth,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/convex/index.js,convex-eth/frax-cvx-platform,8,Solidity,Frax-Convex Platform
98,Lista Liquid Staking,lista-liquid-staking,587152123.22,Liquid Staking,Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/synclub-staked-bnb/index.js,,,,
99,Optimism Bridge,optimism-bridge,526172511.85,Canonical Bridge,Ethereum;Base;PGN,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/optimism/index.js,,,,
100,Tornado Cash,tornado-cash,511916705.59,Privacy,Ethereum;Binance;Arbitrum;xDai;Avalanche;Polygon;EthereumClassic;Optimism,tornadocash,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/tornado/index.js,tornadocash/tornado-nova,5,Solidity,Tornado privacy pool with internal transactions
